FID,time_period,time_format,granularity,geocode,label,geom,pact_m,pact_t,pact_f,pocu_t,pocu_m,pocu_f,psal_t,psal_m,psal_f,psel_t,ppar_t
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2084,2024,P1Y,GRID_250,250mN102200E170900,250mN102200E170900,"MULTIPOLYGON (((28.127229860826525 -16.572007039353288, 28.129391466705112 -16.572685052765053, 28.130156660263438 -16.57026939646276, 28.127995032488677 -16.56959143109573, 28.127229860826525 -16.572007039353288)))",23,45,23,41,20,21,37,17,20,4,4
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2085,2024,P1Y,GRID_250,250mN102200E171025,250mN102200E171025,"MULTIPOLYGON (((28.131055042697575 -16.559928674920386, 28.133216758043748 -16.560606448067293, 28.133981613368782 -16.558190630177887, 28.13181987613305 -16.557512905096313, 28.131055042697575 -16.559928674920386)))",6,19,13,18,6,12,12,3,9,6,3
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2086,2024,P1Y,GRID_250,250mN102200E171050,250mN102200E171050,"MULTIPOLYGON (((28.13181987613305 -16.557512905096313, 28.133981613368782 -16.558190630177887, 28.13474640104309 -16.555774779974694, 28.13258464191915 -16.55509710296255, 28.13181987613305 -16.557512905096313)))",7,19,12,,,,,,,,
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2087,2024,P1Y,GRID_250,250mN102200E171125,250mN102200E171125,"MULTIPOLYGON (((28.134113970537687 -16.550265401770822, 28.136275773434054 -16.550942982631724, 28.137040358148038 -16.54852703549438, 28.134878533367427 -16.54784950271527, 28.134113970537687 -16.550265401770822)))",7,15,8,9,5,4,9,5,4,0,6
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2088,2024,P1Y,GRID_250,250mN102200E171250,250mN102200E171250,"MULTIPOLYGON (((28.137936108124443 -16.538185583456716, 28.140098020428702 -16.538862923867462, 28.140862266848288 -16.536446815197415, 28.138700332666453 -16.53576952288904, 28.137936108124443 -16.538185583456716)))",8,17,9,18,9,9,15,7,8,3,0
Malla de 250m-2024.fid-68150d23_197ad17ab1b_2089,2024,P1Y,GRID_250,250mN102200E171375,250mN102200E171375,"MULTIPOLYGON (((28.141756554204694 -16.52610495764253, 28.143918575883614 -16.526782057500213, 28.14468248397489 -16.524365787327746, 28.142520440425027 -16.523688735593023, 28.141756554204694 -16.52610495764253)))",9,16,7,10,6,3,10,6,3,0,6
Malla de 250m-2024.fid-68150d23_197ad17ab1b_208a,2024,P1Y,GRID_250,250mN104525E163900,250mN104525E163900,"MULTIPOLYGON (((28.110694746116078 -17.31163013102428, 28.112848312964285 -17.31232659816207, 28.113634471270217 -17.30991566428226, 28.111480881997544 -17.309219244296713, 28.110694746116078 -17.31163013102428)))",12,20,8,,,,,,,,
Malla de 250m-2024.fid-68150d23_197ad17ab1b_208b,2024,P1Y,GRID_250,250mN102200E171400,250mN102200E171400,"MULTIPOLYGON (((28.142520440425027 -16.523688735593023, 28.14468248397489 -16.524365787327746, 28.14544632439644 -16.521949484858414, 28.143284258976966 -16.52127248125078, 28.142520440425027 -16.523688735593023)))",35,69,34,61,33,28,54,30,24,7,8
Malla de 250m-2024.fid-68150d23_197ad17ab1b_208c,2024,P1Y,GRID_250,250mN102200E171425,250mN102200E171425,"MULTIPOLYGON (((28.143284258976966 -16.52127248125078, 28.14544632439644 -16.521949484858414, 28.1462100971469 -16.51953315009347, 28.144048009859144 -16.518856194617022, 28.143284258976966 -16.52127248125078)))",11,23,12,23,11,12,19,7,12,4,4
Malla de 250m-2024.fid-68150d23_197ad17ab1b_208d,2024,P1Y,GRID_250,250mN102200E200825,250mN102200E200825,"MULTIPOLYGON (((28.994336827063602 -13.657772544214762, 28.996523642657785 -13.65839013323299, 28.99720690341583 -13.655936775722939, 28.995020067640176 -13.655319239591917, 28.994336827063602 -13.657772544214762)))",19,30,11,26,18,8,21,14,7,5,5
